id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
osmosis,0.457997,317688428,-2.06225,0.467641,0.437524,11.25,0.224523,15-11-2024_16-26-58
safepal,0.64962,316568394,-0.78984,0.654993,0.628424,4.19,0.269235,15-11-2024_16-26-58
ether-fi,1.52,315641682,-5.08132,1.6,1.43,8.53,1.097,15-11-2024_16-26-58
verus-coin,4.02,312628404,-2.71596,4.16,3.91,4.29,0.00177843,15-11-2024_16-26-58
dash,25.66,308154517,-0.52619,25.8,24.66,1493.59,0.213899,15-11-2024_16-26-58
drift-protocol,1.19,307601233,-1.13074,1.25,1.082,2.6,0.100002,15-11-2024_16-26-58
mimblewimblecoin,27.93,306242053,-1.86913,29.01,27.13,31.77,0.298733,15-11-2024_16-26-58
metaplex,0.40381,305208830,2.37914,0.407504,0.393775,0.896784,0.02528374,15-11-2024_16-26-58
origintrail,0.749344,303858595,-3.55977,0.782272,0.740268,3.5,0.00385262,15-11-2024_16-26-58
andy-the-wisguy,0.00030027,301064278,16.8806,0.00030464,0.00022051,0.00031249,2.39287e-07,15-11-2024_16-26-58
ponke,0.548354,301008063,-4.32515,0.607263,0.526717,0.708698,0.00927982,15-11-2024_16-26-58
aleo,1.22,300058414,-3.29604,1.26,1.14,6.72,1.12,15-11-2024_16-26-58
